$$Source_Resource,$$Target_Resource,$$Map_Source_ID_Ref_list,$$Map_Target_ID_Ref_list,$$Map_Relationship,$Map_Confidence_Score,$Map_Coverage
A reference to a resource that has the source controls of a mapping.,A reference to a resource that has the target controls of a mapping.,A list of source reference IDs.,A list of target reference IDs.,The relationship type for the mapping entry.,An estimation of the confidence that this mapping is correct and accurate expressed as percentage.,An estimation of the percentage coverage of the targets by the sources.
catalogs/NIST_SP-800-53_rev5/catalog.json,catalogs/NIST_SP-800-53_rev4/catalog.json,ac-4.17,ac-4.17,intersects-with,100%,
catalogs/NIST_SP-800-53_rev5/catalog.json,catalogs/NIST_SP-800-53_rev4/catalog.json,ac-4.19,ac-4.19,intersects-with,100%,
catalogs/NIST_SP-800-53_rev5/catalog.json,catalogs/NIST_SP-800-53_rev4/catalog.json,ac-4.20,ac-4.20,intersects-with,100%,
catalogs/NIST_SP-800-53_rev5/catalog.json,catalogs/NIST_SP-800-53_rev4/catalog.json,ac-4.21,ac-4.21,equal-to,100%,
catalogs/NIST_SP-800-53_rev5/catalog.json,catalogs/NIST_SP-800-53_rev4/catalog.json,ac-4.22,ac-4.22,equivalent-to,100%,
catalogs/NIST_SP-800-53_rev5/catalog.json,catalogs/NIST_SP-800-53_rev4/catalog.json,ac-5,ac-5,intersects-with,100%,
catalogs/NIST_SP-800-53_rev5/catalog.json,catalogs/NIST_SP-800-53_rev4/catalog.json,ac-6,ac-6,intersects-with,100%,
catalogs/NIST_SP-800-53_rev5/catalog.json,catalogs/NIST_SP-800-53_rev4/catalog.json,ac-6.1,ac-6.1,intersects-with,100%,
catalogs/NIST_SP-800-53_rev5/catalog.json,catalogs/NIST_SP-800-53_rev4/catalog.json,ac-6.2,ac-6.2,equal-to,100%,
catalogs/NIST_SP-800-53_rev5/catalog.json,catalogs/NIST_SP-800-53_rev4/catalog.json,ac-6.3,ac-6.3,equal-to,100%,
catalogs/NIST_SP-800-53_rev5/catalog.json,catalogs/NIST_SP-800-53_rev4/catalog.json,ac-6.4,ac-6.4,equal-to,100%,
catalogs/NIST_SP-800-53_rev5/catalog.json,catalogs/NIST_SP-800-53_rev4/catalog.json,ac-6.5,ac-6.5,equal-to,100%,
catalogs/NIST_SP-800-53_rev5/catalog.json,catalogs/NIST_SP-800-53_rev4/catalog.json,ac-6.6,ac-6.6,equivalent-to,100%,
catalogs/NIST_SP-800-53_rev5/catalog.json,catalogs/NIST_SP-800-53_rev4/catalog.json,ac-6.7,ac-6.7,equivalent-to,100%,
catalogs/NIST_SP-800-53_rev5/catalog.json,catalogs/NIST_SP-800-53_rev4/catalog.json,ac-6.8,ac-6.8,intersects-with,100%,
catalogs/NIST_SP-800-53_rev5/catalog.json,catalogs/NIST_SP-800-53_rev4/catalog.json,ac-6.9,ac-6.9,equivalent-to,100%,
catalogs/NIST_SP-800-53_rev5/catalog.json,catalogs/NIST_SP-800-53_rev4/catalog.json,ac-6.10,ac-6.10,subset-of,100%,
catalogs/NIST_SP-800-53_rev5/catalog.json,catalogs/NIST_SP-800-53_rev4/catalog.json,ac-7,ac-7,intersects-with,100%,
catalogs/NIST_SP-800-53_rev5/catalog.json,catalogs/NIST_SP-800-53_rev4/catalog.json,ac-7.2,ac-7.2,equivalent-to,100%,
catalogs/NIST_SP-800-53_rev5/catalog.json,catalogs/NIST_SP-800-53_rev4/catalog.json,ac-8,ac-8,equivalent-to,100%,
catalogs/NIST_SP-800-53_rev5/catalog.json,catalogs/NIST_SP-800-53_rev4/catalog.json,ac-9,ac-9,equivalent-to,100%,
catalogs/NIST_SP-800-53_rev5/catalog.json,catalogs/NIST_SP-800-53_rev4/catalog.json,ac-9.1,ac-9.1,equivalent-to,100%,
catalogs/NIST_SP-800-53_rev5/catalog.json,catalogs/NIST_SP-800-53_rev4/catalog.json,ac-9.2,ac-9.2,equivalent-to,100%,
catalogs/NIST_SP-800-53_rev5/catalog.json,catalogs/NIST_SP-800-53_rev4/catalog.json,ac-9.3,ac-9.3,equivalent-to,100%,
catalogs/NIST_SP-800-53_rev5/catalog.json,catalogs/NIST_SP-800-53_rev4/catalog.json,ac-9.4,ac-9.4,intersects-with,100%,
catalogs/NIST_SP-800-53_rev5/catalog.json,catalogs/NIST_SP-800-53_rev4/catalog.json,ac-10,ac-10,equal-to,100%,
catalogs/NIST_SP-800-53_rev5/catalog.json,catalogs/NIST_SP-800-53_rev4/catalog.json,ac-11,ac-11,intersects-with,100%,
catalogs/NIST_SP-800-53_rev5/catalog.json,catalogs/NIST_SP-800-53_rev4/catalog.json,ac-11.1,ac-11.1,intersects-with,100%,
catalogs/NIST_SP-800-53_rev5/catalog.json,catalogs/NIST_SP-800-53_rev4/catalog.json,ac-12,ac-12,equal-to,100%,
catalogs/NIST_SP-800-53_rev5/catalog.json,catalogs/NIST_SP-800-53_rev4/catalog.json,ac-12.1,ac-12.1,intersects-with,100%,
catalogs/NIST_SP-800-53_rev5/catalog.json,catalogs/NIST_SP-800-53_rev4/catalog.json,ac-14,ac-14,equivalent-to,100%,
catalogs/NIST_SP-800-53_rev5/catalog.json,catalogs/NIST_SP-800-53_rev4/catalog.json,ac-16,ac-16,intersects-with,100%,
catalogs/NIST_SP-800-53_rev5/catalog.json,catalogs/NIST_SP-800-53_rev4/catalog.json,ac-16.1,ac-16.1,intersects-with,100%,
catalogs/NIST_SP-800-53_rev5/catalog.json,catalogs/NIST_SP-800-53_rev4/catalog.json,ac-16.2,ac-16.2,intersects-with,100%,
catalogs/NIST_SP-800-53_rev5/catalog.json,catalogs/NIST_SP-800-53_rev4/catalog.json,ac-16.3,ac-16.3,intersects-with,100%,
catalogs/NIST_SP-800-53_rev5/catalog.json,catalogs/NIST_SP-800-53_rev4/catalog.json,ac-16.4,ac-16.4,intersects-with,100%,
catalogs/NIST_SP-800-53_rev5/catalog.json,catalogs/NIST_SP-800-53_rev4/catalog.json,ac-16.5,ac-16.5,intersects-with,100%,
catalogs/NIST_SP-800-53_rev5/catalog.json,catalogs/NIST_SP-800-53_rev4/catalog.json,ac-16.6,ac-16.6,intersects-with,100%,
catalogs/NIST_SP-800-53_rev5/catalog.json,catalogs/NIST_SP-800-53_rev4/catalog.json,ac-16.7,ac-16.7,intersects-with,100%,
catalogs/NIST_SP-800-53_rev5/catalog.json,catalogs/NIST_SP-800-53_rev4/catalog.json,ac-16.8,ac-16.8,intersects-with,100%,
catalogs/NIST_SP-800-53_rev5/catalog.json,catalogs/NIST_SP-800-53_rev4/catalog.json,ac-16.9,ac-16.9,intersects-with,100%,
catalogs/NIST_SP-800-53_rev5/catalog.json,catalogs/NIST_SP-800-53_rev4/catalog.json,ac-16.10,ac-16.10,intersects-with,100%,
catalogs/NIST_SP-800-53_rev5/catalog.json,catalogs/NIST_SP-800-53_rev4/catalog.json,ac-17,ac-17,intersects-with,100%,
catalogs/NIST_SP-800-53_rev5/catalog.json,catalogs/NIST_SP-800-53_rev4/catalog.json,ac-17.1,ac-17.1,intersects-with,100%,
catalogs/NIST_SP-800-53_rev5/catalog.json,catalogs/NIST_SP-800-53_rev4/catalog.json,ac-17.2,ac-17.2,equivalent-to,100%,
catalogs/NIST_SP-800-53_rev5/catalog.json,catalogs/NIST_SP-800-53_rev4/catalog.json,ac-17.3,ac-17.3,intersects-with,100%,
catalogs/NIST_SP-800-53_rev5/catalog.json,catalogs/NIST_SP-800-53_rev4/catalog.json,ac-17.4,ac-17.4,intersects-with,100%,
catalogs/NIST_SP-800-53_rev5/catalog.json,catalogs/NIST_SP-800-53_rev4/catalog.json,ac-17.6,ac-17.6,intersects-with,100%,
catalogs/NIST_SP-800-53_rev5/catalog.json,catalogs/NIST_SP-800-53_rev4/catalog.json,ac-17.9,ac-17.9,intersects-with,100%,
catalogs/NIST_SP-800-53_rev5/catalog.json,catalogs/NIST_SP-800-53_rev4/catalog.json,ac-18,ac-18,intersects-with,100%,
catalogs/NIST_SP-800-53_rev5/catalog.json,catalogs/NIST_SP-800-53_rev4/catalog.json,ac-18.1,ac-18.1,equivalent-to,100%,
catalogs/NIST_SP-800-53_rev5/catalog.json,catalogs/NIST_SP-800-53_rev4/catalog.json,ac-18.3,ac-18.3,equivalent-to,100%,
catalogs/NIST_SP-800-53_rev5/catalog.json,catalogs/NIST_SP-800-53_rev4/catalog.json,ac-18.4,ac-18.4,equal-to,100%,
catalogs/NIST_SP-800-53_rev5/catalog.json,catalogs/NIST_SP-800-53_rev4/catalog.json,ac-18.5,ac-18.5,intersects-with,100%,
catalogs/NIST_SP-800-53_rev5/catalog.json,catalogs/NIST_SP-800-53_rev4/catalog.json,ac-19,ac-19,superset-of,100%,
